        Date         |    #4XX    |      #5XX      
2020-09-01 00:00:00  |    4120    |       519      
2020-09-02 00:00:00  |    4120    |       519      
2020-09-03 00:00:00  |    4120    |       519      
2020-09-04 00:00:00  |    4120    |       519      
2020-09-05 00:00:00  |    4120    |       519      
2020-09-06 00:00:00  |    4120    |       519      
2020-09-07 00:00:00  |    4120    |       519      
2020-09-08 00:00:00  |    4120    |       519      
2020-09-09 00:00:00  |    4120    |       519      
2020-09-10 00:00:00  |    4120    |       519      
2020-09-11 00:00:00  |    4120    |       519      
2020-09-12 00:00:00  |    4120    |       519      
       Total             49440           6228      
